lat,lon
-86.23,86.55
-86.23,87.8
-86.23,89.06
-86.23,90.31
-86.23,91.57
-86.23,92.82
-86.23,94.08
-86.23,95.33
-86.23,96.59
-86.23,97.84
-86.23,99.09
-86.23,100.35
-86.23,101.6
-86.23,102.86
-86.23,104.11
-86.23,105.37
-86.23,106.62
-86.23,107.87
-86.23,109.13
-86.23,110.38
-86.23,111.64
-86.23,112.89
-86.23,114.15
-86.23,115.4
-86.23,116.66
-86.23,117.91
-86.23,119.16
-86.23,120.42
-86.23,121.67
-86.23,122.93
-86.23,124.18
-86.23,125.44
-86.23,126.69
-86.23,127.94
-86.23,129.2
-86.23,130.45
-86.23,131.71
-86.23,132.96
-86.23,134.22
-86.23,135.47
-86.23,136.72
-86.23,137.98
-86.23,139.23
-86.23,140.49
-86.23,141.74
-86.23,143.0
-86.23,144.25
-86.23,145.51
-86.23,146.76
-86.23,148.01
-86.23,149.27
-86.23,150.52
-86.23,151.78
-86.23,153.03
-86.23,154.29
-86.23,155.54
-86.23,156.79
-86.23,158.05
-86.23,159.3
-86.23,160.56
-86.23,161.81
-86.23,163.07
-86.23,164.32
-86.23,165.57
-86.23,166.83
-86.23,168.08
-86.23,169.34
-86.23,170.59
-86.23,171.85
-86.23,173.1
-86.23,174.36
-86.23,175.61
-86.23,176.86
-86.23,178.12
-86.23,179.37
-86.23,180.63
-86.23,181.88
-86.23,183.14
-86.23,184.39
-86.23,185.64
-86.23,186.9
-86.23,188.15
-86.23,189.41
-86.23,190.66
-86.23,191.92
-86.23,193.17
-86.23,194.43
-86.23,195.68
-86.23,196.93
-86.23,198.19
-86.23,199.44
-86.23,200.7
-86.23,201.95
-86.23,203.21
-86.23,204.46
-86.23,205.71
-86.23,206.97
-86.23,208.22
-86.23,209.48
-86.23,210.73
-86.23,211.99
-86.23,213.24
-86.23,214.49
-86.23,215.75
-86.23,217.0
-86.23,218.26
-86.23,219.51
-86.23,220.77
-86.23,222.02
-86.23,223.28
-86.23,224.53
-86.23,225.78
-86.23,227.04
-86.23,228.29
-86.23,229.55
-86.23,230.8
-86.23,232.06
-86.23,233.31
-86.23,234.56
-86.23,235.82
-86.23,237.07
-86.23,238.33
-86.23,239.58
-86.23,240.84
-86.23,242.09
-86.23,243.34
-86.23,244.6
-86.23,245.85
-86.23,247.11
-86.23,248.36
-86.23,249.62
-86.23,250.87
-86.23,252.13
-86.23,253.38
-86.23,254.63
-86.23,255.89
-86.23,257.14
-86.23,258.4
-86.23,259.65
-86.23,260.91
-86.23,262.16
-86.23,263.41
-86.23,264.67
-86.23,265.92
-86.23,267.18
-86.23,268.43
-86.23,269.69
-86.23,270.94
-86.23,272.2
-86.23,273.45
-86.23,274.7
-86.23,275.96
-86.23,277.21
-86.23,278.47
-86.23,279.72
-86.23,280.98
-86.23,282.23
-86.23,283.48
-86.23,284.74
-86.23,285.99
-86.23,287.25
-86.23,288.5
-86.23,289.76
-86.23,291.01
-86.23,292.26
-86.23,293.52
-86.23,294.77
-86.23,296.03
-86.23,297.28
-86.23,298.54
-86.23,299.79
-86.23,301.05
-86.23,302.3
-86.23,303.55
-86.23,304.81
-86.23,306.06
-86.23,307.32
-86.23,308.57
-86.23,309.83
-86.23,311.08
-86.23,312.33
-86.23,313.59
-86.23,314.84
-86.23,316.1
-86.23,317.35
-86.23,318.61
-86.23,319.86
-86.23,321.11
-86.23,322.37
-86.23,323.62
-86.23,324.88
-86.23,326.13
-86.23,327.39
-86.23,328.64
-86.23,329.9
-86.23,331.15
-86.23,332.4
-86.23,333.66
-86.23,334.91
-86.23,336.17
-86.23,337.42
-86.23,338.68
-86.23,339.93
-86.23,341.18
-86.23,342.44
-86.23,343.69
-86.23,344.95
-86.23,346.2
-86.23,347.46
-86.23,348.71
-86.23,349.97
-86.23,351.22
-86.23,352.47
-86.23,353.73
-86.23,354.98
-86.23,356.24
-86.23,357.49
-86.23,358.75
-86.23,360.0
-85.29,0.0
-85.29,1.25
-85.29,2.51
-85.29,3.76
-85.29,5.02
-85.29,6.27
-85.29,7.53
-85.29,8.78
-85.29,10.03
-85.29,11.29
-85.29,12.54
-85.29,13.8
-85.29,15.05
-85.29,16.31
-85.29,17.56
-85.29,18.82
-85.29,20.07
-85.29,21.32
-85.29,22.58
-85.29,23.83
-85.29,25.09
-85.29,26.34
-85.29,27.6
-85.29,28.85
-85.29,30.1
-85.29,31.36
-85.29,32.61
-85.29,33.87
-85.29,35.12
-85.29,36.38
-85.29,37.63
-85.29,38.89
-85.29,40.14
-85.29,41.39
-85.29,42.65
-85.29,43.9
-85.29,45.16
-85.29,46.41
-85.29,47.67
-85.29,48.92
-85.29,50.17
-85.29,51.43
-85.29,52.68
-85.29,53.94
-85.29,55.19
-85.29,56.45
-85.29,57.7
-85.29,58.95
-85.29,60.21
-85.29,61.46
-85.29,62.72
-85.29,63.97
-85.29,65.23
-85.29,66.48
-85.29,67.74
-85.29,68.99
-85.29,70.24
-85.29,71.5
-85.29,72.75
-85.29,74.01
-85.29,75.26
-85.29,76.52
-85.29,77.77
-85.29,79.02
-85.29,80.28
-85.29,81.53
-85.29,82.79
-85.29,84.04
-85.29,85.3
-85.29,86.55
-85.29,87.8
-85.29,89.06
-85.29,90.31
-85.29,91.57
-85.29,92.82
-85.29,94.08
-85.29,95.33
-85.29,96.59
-85.29,97.84
-85.29,99.09
-85.29,100.35
-85.29,101.6
-85.29,102.86
-85.29,104.11
-85.29,105.37
-85.29,106.62
-85.29,107.87
-85.29,109.13
-85.29,110.38
-85.29,111.64
-85.29,112.89
-85.29,114.15
-85.29,115.4
-85.29,116.66
-85.29,117.91
-85.29,119.16
-85.29,120.42
-85.29,121.67
-85.29,122.93
-85.29,124.18
-85.29,125.44
-85.29,126.69
-85.29,127.94
-85.29,129.2
-85.29,130.45
-85.29,131.71
-85.29,132.96
-85.29,134.22
-85.29,135.47
-85.29,136.72
-85.29,137.98
-85.29,139.23
